ap_orig,ap_dest,enmu_base,enmu_nec,ours_current,unreached_current,ours_base,unreached_base,ours_nec,unreached_nec
5212501003003,5300108005047,119.78403277577958,68.8566168343712,,1.0,,1.0,172.44709392897022,0.34762098426906307
5212501003002,5300108005006,83.6278619721959,62.31049558680827,,1.0,,1.0,170.2929707999262,0.007316882023396198
5212501003002,5300108005005,76.82814565598377,61.28158117072385,,1.0,,1.0,164.9172282252565,0.0
5212501003002,5300108005040,63.42057713360235,41.093927635222464,,1.0,,1.0,134.05584886594494,0.0
5212501003002,5300108005041,61.35169994513447,42.169660928210334,,1.0,,1.0,144.73852934341986,0.0
5212501003002,5300108005045,127.39502279295233,92.9335328791542,,1.0,,1.0,163.14464150577018,0.8230498951608451
5212501003002,5300108005047,119.78403277577956,68.8566168343712,,1.0,,1.0,165.22410959706835,0.0404026875095741
5212501003005,5300108005006,51.85053844410655,47.72209275703953,168.26317817410953,0.902219627081869,168.26317817410953,0.902219627081869,125.30978903285735,0.0073168820233963094
5212501003005,5300108005005,46.49630627808448,45.68397416574878,163.64265797550348,0.846323763425004,163.64265797550348,0.846323763425004,119.6090319270598,0.0
5212501003005,5300108005040,35.31960710770321,32.10274967725167,161.2439309883975,0.846323763425004,161.2439309883975,0.846323763425004,90.18991419346925,0.0
5212501003005,5300108005041,27.84470274408009,27.34336024556228,152.19607324830534,0.846323763425004,152.19607324830534,0.846323763425004,100.66220667190812,0.0
5212501003005,5300108005045,118.89633164307462,97.87098282340601,,1.0,,1.0,147.8352324534624,0.018379330324650667
5212501003005,5300108005047,90.64320203070199,72.26560171868034,,1.0,,1.0,121.16108504545933,0.0404026875095741
5212501003004,5300108005006,83.6278619721959,62.31049558680828,,1.0,,1.0,139.40966584759,0.0073168820233963094
5212501003004,5300108005005,76.82814565598377,61.28158117072385,,1.0,,1.0,133.80918141358663,0.0
5212501003004,5300108005040,63.42057713360236,41.093927635222464,,1.0,,1.0,104.16276982792783,0.0
5212501003004,5300108005041,61.35169994513447,42.169660928210334,,1.0,,1.0,114.58404535962427,0.0
5212501003004,5300108005045,127.39502279295235,92.9335328791542,,1.0,,1.0,159.78384907255952,0.16143997700541302
5212501003004,5300108005047,119.78403277577956,68.8566168343712,,1.0,,1.0,134.89033739777284,0.0404026875095741
5212501003006,5300108005006,57.35201895314151,50.00942643853928,,1.0,,1.0,140.89320432713015,0.007316882023396198
5212501003006,5300108005005,50.94423628609611,49.77272779047997,,1.0,,1.0,135.09366860823644,0.0
5212501003006,5300108005040,42.746202052861854,30.965457496789238,,1.0,,1.0,105.24659184023665,0.0
5212501003006,5300108005041,32.223423713988154,31.424799640711786,,1.0,,1.0,115.87597350709838,0.0
5212501003006,5300108005045,114.79558034217854,82.37719295620089,,1.0,,1.0,161.1814673111292,0.16423849873848773
5212501003006,5300108005047,101.82345210138025,57.07170237816887,,1.0,,1.0,136.26598955827114,0.04040268750957399
5300108005006,5300108005006,9.803034282610877,9.719972130056751,39.890364684387826,0.0,39.890364684387826,0.0,39.890364684387826,0.0
5300108005006,5300108005005,8.271398232694692,8.25671778638833,35.07352180864198,0.0,35.07352180864198,0.0,35.07352180864198,0.0
5300108005006,5300108005040,32.51407798803749,31.349692606818227,66.7348166631263,0.0,66.7348166631263,0.0,64.93955784362761,0.0
5300108005006,5300108005041,26.221057156294595,24.96487128709216,57.17474706247447,0.0,57.17474706247447,0.0,53.6196751867519,0.0
