processing_acps,policy_config,interest_housing,policy_melhorias,seed,delta_gini_periphery,delta_house_values_periphery,delta_median_affordability_periphery,total_pop,n_municipalities
GOIANIA,high_inactive,high,False,3,-0.0002638103171751973,-3.8519149215442745,-0.0027646540876204405,8302.983333333334,6
GOIANIA,high_inactive,high,False,4,0.013893515124461384,-8.11899063743714,-0.005076637360459788,8643.466666666665,6
GOIANIA,high_inactive,high,False,5,0.004608274143024554,-6.654032434619019,0.0026889356044627025,8415.416666666666,6
GOIANIA,high_inactive,high,False,6,-0.003836298286354086,1.1181979127453574,0.002099756694192381,8713.066666666668,6
GOIANIA,high_inactive,high,False,7,0.004857275730210408,-0.918960303956165,0.00033380755740100235,8493.366666666667,6
GOIANIA,high_inactive,high,False,8,0.013171795598414335,-4.681554583397889,0.0029742537713458275,8283.883333333333,6
GOIANIA,high_inactive,high,False,9,0.001815254864190861,0.17075163416932923,-0.0015048425054956982,8271.616666666667,6
GOIANIA,low_active,low,True,0,0.013941804970458884,-0.7088097872692363,-0.0027375893613188675,8296.35,6
GOIANIA,low_active,low,True,1,-0.005994200096570214,8.067382035491509,0.007989185950149892,8491.233333333334,6
GOIANIA,low_active,low,True,2,0.0019368550795750344,9.34199283889368,0.000993651846956578,8593.566666666668,6
GOIANIA,low_active,low,True,3,-0.01757059084519153,-0.10693619234584957,-0.0029367978532816503,8302.983333333334,6
GOIANIA,low_active,low,True,4,-0.004527156246464928,-10.320191675022373,-0.00450060508190515,8643.466666666665,6
GOIANIA,low_active,low,True,5,-0.006118318951659505,-7.559521660312607,-0.0010262280733772302,8415.416666666666,6
GOIANIA,low_active,low,True,6,-0.0005853291639886664,-2.3260340110829456,-0.0020351084017490952,8713.066666666668,6
GOIANIA,low_active,low,True,7,-0.013611038974205996,5.143553508293391,0.0041421909214772856,8493.366666666667,6
GOIANIA,low_active,low,True,8,-0.01305983125868907,-6.860296047713814,-0.0028128410282952324,8283.883333333333,6
GOIANIA,low_active,low,True,9,0.004197670316362985,-5.150221289973519,0.0012568821739469213,8271.616666666667,6
GOIANIA,low_inactive,low,False,0,0.016202761478776126,-0.029687969073408184,-0.0016213634044891362,8296.35,6
