processing_acps,policy_config,interest_housing,policy_melhorias,seed,delta_gini,gini_index,gini_index_base,delta_house_price,house_price,house_price_base,delta_affordability_median,affordability_median,affordability_median_base,delta_house_quality,house_quality,house_quality_base,delta_vacancy,house_vacancy,house_vacancy_base,delta_unemployment,unemployment,unemployment_base,pop
PALMAS,low_inactive,low,False,7,-0.002885020973594221,0.3725345712002413,0.3754195921738355,4.205065977509861,197.23330866200592,193.02824268449606,-0.0014449393587595213,0.04311209079757082,0.04455703015633034,-0.0016749823625956672,2.525567954157965,2.527242936520561,-0.002209502385257134,0.09882966131320185,0.10103916369845899,0.0014686214985697096,0.05036243358703905,0.04889381208846934,3586.883333333333
PALMAS,low_inactive,low,False,8,-0.0005515090044356796,0.37308447014523727,0.37363597914967295,14.405404737413363,218.09334243808996,203.6879377006766,-0.0009083172312197435,0.047543871599067394,0.04845218883028714,0.008730806172297711,2.536804615643282,2.5280738094709845,-0.007871270786073095,0.08546181854309737,0.09333308932917046,-0.00014379144086139328,0.04912335573093698,0.04926714717179837,3587.4666666666667
PALMAS,low_inactive,low,False,9,0.004787483018471317,0.3822679062717274,0.3774804232532561,-13.42294114684583,177.9231154028392,191.34605654968502,-0.004507392801380926,0.04227958542953674,0.04678697823091767,-0.019647004953287528,2.499552999437699,2.5192000043909863,0.005395627066159467,0.11054056720925674,0.10514494014309728,0.00033627818845222146,0.04887212232119283,0.04853584413274061,3587.95
PORTO ALEGRE,low_inactive,low,False,0,-0.006687159900390038,0.687057725482863,0.6937448853832531,-1.5724048669857495,182.16967827368913,183.74208314067488,-0.0018816563075469278,0.08185552220258638,0.0837371785101333,0.003027439765324491,3.565748255347103,3.5627208155817787,0.011662701135180004,0.1735046807484491,0.1618419796132691,0.0007483599525964987,0.033400689974073416,0.03265233002147692,33404.98333333333
PORTO ALEGRE,low_inactive,low,False,1,0.029127802299516614,0.6998471186903633,0.6707193163908467,-0.3653983893030386,185.98025751789567,186.3456559071987,0.001844241974309574,0.08679380960377286,0.08494956762946329,0.0026066977190497553,3.588968592661098,3.586361894942048,0.005903987121134935,0.16368518397040024,0.1577811968492653,0.0004899201309292445,0.03294076328645782,0.032450843155528576,33348.45
PORTO ALEGRE,low_inactive,low,False,2,0.007031173119156575,0.6819357477114887,0.6749045745923321,-4.026953011880437,186.07971790040762,190.10667091228805,-0.004091416513289078,0.0816518494930868,0.08574326600637588,-0.005580939071653468,3.5948894760779853,3.6004704151496387,-0.003947911739580867,0.14844930661713382,0.1523972183567147,-0.0007014821058426643,0.03245420363286951,0.03315568573871217,34231.35
PORTO ALEGRE,low_inactive,low,False,3,0.015937685176501404,0.7040293116341148,0.6880916264576133,-1.5264450739134645,184.3324230487494,185.85886812266287,0.0019679517510665934,0.08415166770844083,0.08218371595737424,0.00665145790720878,3.5774129644114168,3.570761506504208,0.0019712522868389204,0.1717083486934685,0.16973709640662957,0.0013892837233036442,0.03363212516556089,0.032242841442257246,33006.666666666664
PORTO ALEGRE,low_inactive,low,False,4,0.012201006373390388,0.6947376227910362,0.6825366164176458,-3.455480773210496,187.345354165588,190.8008349387985,0.0030258011597671386,0.08507777693264579,0.08205197577287865,0.007858861856163024,3.579143045310113,3.57128418345395,0.0007495132781234481,0.15702081607771434,0.1562713027995909,0.0013303657777571504,0.033677268952226,0.03234690317446885,34056.5
PORTO ALEGRE,low_inactive,low,False,5,-0.0071398590455804545,0.6786716955122334,0.6858115545578138,1.7356970491021002,188.6842502626443,186.9485532135422,0.0019219212506937644,0.08799756213698919,0.08607564088629542,0.006782585764063764,3.572236620105548,3.5654540343414842,-0.0028313611152025464,0.1593181990349591,0.16214956015016166,-0.0009671908940885807,0.032038388143140764,0.033005579037229345,33992.65
PORTO ALEGRE,low_inactive,low,False,6,0.0021533118564192044,0.6792255916176112,0.677072279761192,-3.6604802746073517,184.99271885792788,188.65319913253524,0.003904177078530871,0.08421961000356112,0.08031543292503025,-0.005047359249631622,3.5752971409282557,3.5803445001778873,-0.0010075442522224642,0.15672962749695285,0.15773717174917531,-0.00027350897714215755,0.032387731793744906,0.032661240770887064,34061.26666666667
PORTO ALEGRE,low_inactive,low,False,7,-0.004974206724153163,0.7100567090987115,0.7150309158228647,0.5316991125124275,187.09389521298084,186.5621961004684,0.0015462606323630446,0.08785552614224472,0.08630926550988167,0.002558812584157355,3.5859269471004063,3.583368134516249,0.0077909485733466954,0.167069692423687,0.1592787438503403,0.000159500552578358,0.0330275963548,0.03286809580222164,33148.21666666667
PORTO ALEGRE,low_inactive,low,False,8,-0.018534456266832255,0.6932934595724813,0.7118279158393136,1.733548786656172,188.10534575846614,186.37179697180997,0.00036045798225062264,0.08546805819788807,0.08510760021563744,-0.00617554063210024,3.5849339654427648,3.591109506074865,-0.006593390494766593,0.1533076296072165,0.1599010201019831,0.0007511038733724607,0.033623693174511644,0.032872589301139184,33642.9
PORTO ALEGRE,low_inactive,low,False,9,-0.028276514810282594,0.6727028319362419,0.7009793467465245,5.677956182230332,189.34251118638738,183.66455500415705,0.0013744826546925881,0.08266031491297678,0.08128583225828419,-0.011293941294156173,3.5907236262579847,3.602017567552141,-0.00045114984816746473,0.1538697560075738,0.15432090585574126,-0.0005066388016533724,0.032694626925717236,0.03320126572737061,34469.566666666666
PORTO VELHO,low_inactive,low,False,0,0.010015730531357958,0.4215770469817747,0.4115613164504167,-1.3392734136856745,154.69904600054048,156.03831941422615,0.009708807236265757,0.06943365771156203,0.05972485047529627,0.00018258933403947353,2.42054461440028,2.4203620250662405,0.005231301588713516,0.1260957844415777,0.12086448285286419,0.06953422713743894,0.13797501026396547,0.06844078312652653,5700.383333333333
PORTO VELHO,low_inactive,low,False,1,-0.011739448690118504,0.39223324062160714,0.40397268931172564,1.2911880865393357,162.6675977628391,161.37640967629977,0.009177747494970537,0.08144536567810334,0.0722676181831328,-0.0028286469522895707,2.4358491866436633,2.438677833595953,0.0007610887005531503,0.11924393828989818,0.11848284958934503,-0.06796637202509793,0.10956638524663871,0.17753275727173665,5319.716666666666
PORTO VELHO,low_inactive,low,False,2,-0.022866590314893243,0.40307345083797996,0.4259400411528732,1.113930662005174,154.45115580021596,153.33722513821078,-0.03230650674179884,0.07538862278274643,0.10769512952454527,0.01873163799576405,2.4334725067600265,2.4147408687642624,-0.0033302087131721753,0.12400840388917457,0.12733861260234675,-0.060131722278702615,0.17805724780910834,0.23818897008781095,5686.183333333333
PORTO VELHO,low_inactive,low,False,3,-0.003108590115847909,0.4228235171852509,0.4259321073010988,7.242225000267581,155.905321795427,148.66309679515942,0.0001491417047339988,0.061248847328622416,0.06109970562388842,0.009149710234541697,2.4110154532701995,2.401865743035658,-0.004046174034984779,0.11938120007488935,0.12342737410987413,-0.0025079266713630838,0.10982907382118041,0.1123370004925435,5704.4
PORTO VELHO,low_inactive,low,False,4,-0.007488366115267486,0.4239913043147053,0.43147967042997276,-4.703534410367297,159.2277907722656,163.9313251826329,-0.004068162462802616,0.07366716786339828,0.07773533032620089,0.02677329809758655,2.4289313363973792,2.4021580382997927,0.0030158882029367867,0.1163579999573673,0.11334211175443051,-0.06168804311054889,0.11740044893011393,0.17908849204066282,5701.766666666666
PORTO VELHO,low_inactive,low,False,5,0.0042924131678494515,0.42084204596240277,0.4165496327945533,-2.482806083534257,152.26544549362754,154.7482515771618,-0.006743606224130845,0.0592699343581447,0.06601354058227554,-0.009977166203470222,2.4318881819037736,2.441865348107244,-0.0002906795997512507,0.12472230066232508,0.12501298026207633,-0.06388827942296797,0.048031405998844146,0.11191968542181212,5706.583333333333
PORTO VELHO,low_inactive,low,False,6,0.007303653930447407,0.43313144148159777,0.42582778755115036,7.659563901303386,140.53823029077017,132.8786663894668,0.03152708524416958,0.0872111340153869,0.05568404877121732,-0.0008682262009398478,2.418492945527861,2.419361171728801,-0.00671342696881197,0.1364078055525101,0.14312123252132206,0.17033092049553733,0.29120666508211174,0.12087574458657441,5440.216666666666
PORTO VELHO,low_inactive,low,False,7,0.006331147810518911,0.41160680332129423,0.4052756555107753,-7.757505525919328,137.30960955168794,145.06711507760727,0.004329567783933216,0.05980806479981117,0.05547849701587795,-0.0025996219592081538,2.4111709536295054,2.4137705755887136,0.006656039735196934,0.13918673077342475,0.13253069103822782,0.024409105585338417,0.12987282502344175,0.10546371943810333,5667.466666666666
PORTO VELHO,low_inactive,low,False,8,-0.0007128268834457607,0.42730586820118577,0.42801869508463153,2.9681320822193697,161.2352415634102,158.26710948119083,0.005059432088194454,0.07711885495716335,0.0720594228689689,0.012594636976642093,2.438836150442083,2.426241513465441,-0.00013650233676580636,0.11885620764885209,0.1189927099856179,0.03443112795790143,0.21677341821491322,0.1823422902570118,5696.366666666667
PORTO VELHO,low_inactive,low,False,9,0.03533453670553949,0.4204149855854974,0.3850804488799579,1.1161890026266121,164.58068230380496,163.46449330117835,0.01721492386390802,0.08051280264663833,0.06329787878273031,0.00160655214820693,2.4157126441916827,2.414106092043476,-0.0028811611924879216,0.11501590967211765,0.11789707086460557,0.1748741904538363,0.22322245562995793,0.04834826517612165,5677.433333333333
RIO BRANCO,low_inactive,low,False,0,-0.0014623677100719101,0.39475882977974597,0.3962211974898179,3.0166700534942947,163.0510402281032,160.0343701746089,0.0005007577565511387,0.04875691914626671,0.04825616138971557,-0.014890736514105996,2.382352982892997,2.397243719407103,0.0009115588548845172,0.10330997752925519,0.10239841867437068,0.001546074088175281,0.03592746566760536,0.03438139157943008,3929.3
RIO BRANCO,low_inactive,low,False,1,0.006804531981826678,0.3912465606718739,0.38444202869004723,1.4729644156332142,192.58573817910056,191.11277376346735,0.0030272086662131506,0.057508996572387554,0.0544817879061744,-0.004896564213393795,2.4274779244826217,2.4323744886960155,-0.005459909046497499,0.0787643005674779,0.08422420961397539,-0.004976064057951528,0.03155034100834573,0.03652640506629726,3929.233333333333
RIO BRANCO,low_inactive,low,False,2,-0.0014093730663132797,0.39328345343884413,0.3946928265051574,0.9308596937467541,156.72502834616054,155.7941686524138,-0.00022937445517054456,0.04954347866647179,0.049772853121642334,0.04418900366925316,2.43279018245713,2.388601178787877,0.0010867848222540916,0.11182162052239047,0.11073483570013638,-0.0013342700796032808,0.03540463601893198,0.03673890609853526,3929.233333333333
RIO BRANCO,low_inactive,low,False,3,0.003904666089369846,0.38621266187653774,0.3823079957871679,-2.9999337968355064,184.20929426627788,187.2092280631134,0.003535666175719411,0.056040258535149316,0.052504592359429905,-0.0016546265614194589,2.428252974933496,2.4299076014949152,0.0013468446325596573,0.08626048902897014,0.08491364439641048,-0.00028848371264000167,0.02711660131544214,0.02740508502808214,3929.25
RIO BRANCO,low_inactive,low,False,4,-0.006922641715621514,0.38789205139887506,0.3948146931144966,-0.35925028895567834,158.0010267676895,158.36027705664517,-0.0005130292800944111,0.04765069295336381,0.048163722233458224,0.002695132621724383,2.3966386511378723,2.393943518516148,0.002387385818638954,0.10465023750977004,0.10226285169113108,0.0054938139136020275,0.038861473645160335,0.03336765973155831,3929.25
RIO BRANCO,low_inactive,low,False,5,0.0008997432909951253,0.3831904022847016,0.38229065899370646,-3.9508476061804174,165.34465090218407,169.2954985083645,-0.0012108893592912007,0.047443449305366966,0.04865433866465817,0.0007321789037830762,2.420220621047968,2.419488442144185,0.005366055224281532,0.10783468645578297,0.10246863123150143,0.005724662731495311,0.0331013380224495,0.02737667529095419,3929.2
RIO BRANCO,low_inactive,low,False,6,0.005586388312500301,0.39429293181767766,0.38870654350517736,-0.6970063252765613,178.45416394591265,179.15117027118922,0.0010123537440812139,0.05049407385115644,0.049481720107075224,0.021475739832754748,2.4438918750320107,2.422416135199256,0.00024524319862750943,0.08858579373290161,0.0883405505342741,0.002501985530603351,0.035719319632717225,0.033217334102113874,3929.0833333333335
RIO BRANCO,low_inactive,low,False,7,0.0038913264867262987,0.39166423878881584,0.38777291230208955,-2.5485877158133974,177.1042315310066,179.65281924682,0.0032052868430307996,0.050934485447635645,0.047729198604604846,-0.012516116626322571,2.4072108606343936,2.419726977260716,0.00042276797779841613,0.08950383626896738,0.08908106829116896,-0.000765872002810114,0.03243670087302813,0.03320257287583824,3929.233333333333
RIO BRANCO,low_inactive,low,False,8,-0.0012446334222955269,0.39262286420630416,0.3938674976285997,-13.34719712881693,159.31616954403242,172.66336667284935,-0.00014475651423887653,0.04941945817714129,0.049564214691380164,-0.020260645669322397,2.413015516080777,2.4332761617500993,0.010711377581232029,0.10829110476624175,0.09757972718500972,-0.0008390477671580757,0.034801740998403954,0.03564078876556203,3929.15
