cod_ibge,ano,recursos_fgts,recursos_sbpe
110045,2012,105864.32,211728.64
110045,2013,443306.88,886613.76
110045,2014,716598.1599999999,1433196.3199999998
110045,2015,709106.36,1418212.72
110045,2016,719163.9199999999,1438327.8399999999
110045,2017,1247885.32,2495770.64
110045,2018,1103160.7599999998,2206321.5199999996
110045,2019,802115.44,1604230.88
110045,2020,1608139.4799999995,3216278.959999999
110045,2021,523874.6,1047749.2
110045,2022,1067094.6800000002,2134189.3600000003
110045,2023,1527766.44,3055532.88
110045,2024,1504771.4799999995,3009542.959999999
110045,2025,140404.12,280808.24
110050,2012,14934.84,29869.68
110050,2016,0.0,0.0
110050,2024,0.0,0.0
110060,2010,46544.0,93088.0
110060,2011,0.0,0.0
110060,2014,132227.96,264455.92
110060,2017,0.0,0.0
110060,2019,113523.96,227047.92
110060,2020,167999.91999999998,335999.83999999997
110060,2021,75699.64,151399.28
110060,2022,102058.72,204117.44
110080,2009,14752.0,29504.0
110080,2010,62440.0,124880.0
110080,2012,179739.56,359479.12
110080,2013,265899.16000000003,531798.3200000001
110080,2014,418165.32000000007,836330.6400000001
110080,2015,127999.92,255999.84
110080,2016,152783.92,305567.84
110080,2017,24901.16,49802.32
110080,2019,82502.48,165004.96
110080,2020,25973.72,51947.44
110080,2021,104840.36,209680.72
110080,2022,193241.6,386483.2
110080,2023,324064.88,648129.76
110080,2024,157761.24,315522.48
110092,2009,0.0,0.0
110092,2010,49304.0,98608.0
110092,2012,84932.16,169864.32
110092,2013,97807.96,195615.92
110092,2014,191648.28000000003,383296.56000000006
110092,2015,220963.92,441927.84
110092,2016,145574.52000000002,291149.04000000004
110092,2020,187139.92,374279.84
110092,2022,2128.0,4256.0
110092,2023,0.0,0.0
110092,2024,0.0,0.0
110094,2025,5356.0,10712.0
110100,2018,126179.96,252359.92
110100,2019,0.0,0.0
110100,2024,341936.56,683873.12
110120,2017,0.0,0.0
110120,2019,108752.0,217504.0
110120,2022,91054.44,182108.88
110120,2024,64971.72,129943.44
110130,2014,199491.92,398983.84
110130,2015,289492.43999999994,578984.8799999999
110130,2017,78980.48,157960.96
110130,2020,89559.96,179119.92
110130,2024,235065.28000000003,470130.56000000006
110130,2025,185002.0,370004.0
110140,2009,42940.0,85880.0
110140,2010,109356.0,218712.0
110140,2011,36000.0,72000.0
110140,2012,79288.04000000001,158576.08000000002
110140,2013,122269.36,244538.72
110140,2015,68228.0,136456.0
110140,2016,68440.0,136880.0
110140,2017,0.0,0.0
110140,2018,254073.76,508147.52
110140,2020,93895.96,187791.92
110140,2023,0.0,0.0
110140,2024,219825.04,439650.08
110145,2023,110067.92,220135.84
110145,2024,68367.84,136735.68
110147,2010,0.0,0.0
110147,2011,13312.8,26625.6
110147,2012,174288.56,348577.12
110147,2013,63999.96,127999.92
110147,2014,279425.87999999995,558851.7599999999
110147,2015,97807.96,195615.92
110147,2016,66663.96,133327.92
110147,2019,0.0,0.0
110147,2020,0.0,0.0
110147,2021,16499.4,32998.8
110148,2014,198051.92,396103.84
110148,2015,87355.95999999999,174711.91999999998
110148,2016,77500.44,155000.88
110148,2019,0.0,0.0
110148,2020,129626.52,259253.04
110149,2015,75083.95999999999,150167.91999999998
110149,2016,0.0,0.0
110149,2018,24084.84,48169.68
110149,2023,2718.6,5437.2
110149,2024,610961.9199999999,1221923.8399999999
110149,2025,62926.6,125853.2
110150,2024,0.0,0.0
110160,2009,193896.0,387792.0
110160,2010,179980.0,359960.0
110160,2011,76000.0,152000.0
110160,2012,143664.32,287328.64
110160,2013,102035.96,204071.92
110160,2014,97807.96,195615.92
110160,2015,461706.7200000001,923413.4400000002
110160,2016,205448.68,410897.36
110160,2017,257585.36,515170.72
110160,2018,0.0,0.0
110160,2023,156484.24,312968.48
110170,2009,223500.0,447000.0
110170,2010,200960.0,401920.0
110170,2011,133904.8,267809.6
110170,2012,414572.6,829145.2
110170,2013,250223.92,500447.84
110170,2014,581274.4800000001,1162548.9600000002
110170,2015,468368.12,936736.24
110170,2016,21701.08,43402.16
110170,2017,170200.96000000002,340401.92000000004
