AREAP,avg_num_people
3521002001001,3.384705882352941
3522109003001,3.2017391304347824
3522109003002,2.8680000000000003
3522109003003,3.1228
3522109003004,2.9732758620689657
3522109003005,2.889753086419753
3522208003001,3.3400000000000007
3522208003002,3.656956521739131
3522208003003,3.5577272727272726
3522208003004,3.2752631578947367
3522208003005,3.5575757575757567
3522208003006,3.3936842105263154
3522208003007,3.5285714285714267
3522505005001,3.2017647058823533
3522505005002,3.373846153846153
3522505005003,3.5211764705882365
3522505005004,3.548571428571428
3522505005005,3.2292857142857145
3522505005006,3.686666666666667
3522505005007,3.584285714285714
3522505005008,3.5813333333333333
3522505005009,3.3935714285714287
3522505005010,3.501333333333333
3522505005011,3.441818181818182
3522505005012,3.462857142857142
3522505005013,3.667857142857143
3523107005001,3.7633333333333328
3523107005002,3.598666666666667
3523107005003,3.5715384615384616
3523107005004,3.595833333333333
3523107005005,3.471538461538462
3523107005006,3.5463414634146337
3523107005007,3.591818181818182
3523107005008,3.6011764705882365
3523107005009,3.5788235294117654
3523107005010,3.62
3523107005011,3.43
3523107005012,3.585
3523107005013,3.598636363636364
3523107005014,3.661481481481481
3523107005015,3.6445161290322585
3523107005016,3.564615384615384
3523404003001,3.2557894736842106
3523404003002,3.3914285714285715
3523404003003,3.4769999999999994
3523404003004,3.033023255813954
3523404003005,3.218813559322033
3523909003001,3.4313333333333333
3523909003002,3.5861111111111112
3523909003003,3.5694117647058823
3523909003004,3.1318181818181814
3523909003005,3.0084
3523909003006,3.2591666666666668
3523909003007,3.200978260869565
3524006003001,3.4071875000000014
3524006003002,3.2830000000000004
3524402005001,2.830344827586208
3524402005002,3.4331481481481485
3524402005003,3.2733333333333325
3524402005004,3.3823809523809523
3524402005005,3.257592592592592
3524402005006,3.5796610169491534
3524402005007,3.2904166666666668
3524402005008,3.419354838709677
3524709003001,3.312333333333333
3524709003002,3.467142857142857
3525003003001,3.246875
3525003003002,3.369375
3525003003003,3.394285714285714
3525003003004,3.267
3525003003005,3.3825000000000007
3525102003001,3.1438888888888883
3525102003002,3.478666666666667
3525904005001,3.3496875000000013
3525904005002,3.088148148148148
3525904005003,2.8725714285714288
3525904005004,3.2655000000000003
3525904005005,3.0169230769230766
3525904005006,2.7625925925925934
3525904005007,2.8375862068965514
3525904005008,3.1
3525904005009,2.504193548387097
3525904005010,2.8052
3525904005011,3.022272727272728
3525904005012,3.411363636363636
3525904005013,3.088709677419355
3525904005014,3.5022580645161296
3525904005015,3.4853846153846164
3525904005016,3.1480769230769234
3525904005017,3.345
3525904005018,3.1803846153846163
3525904005019,2.8847826086956525
3525904005020,3.255555555555555
3525904005021,3.428636363636364
3525904005022,2.8434375
3525904005023,3.265
3525904005024,3.300454545454545
3526209003001,3.218518518518519
3527306003001,3.357272727272727
3527306003002,3.342631578947368
3528403003001,3.3966666666666665
3528403003002,3.26590909090909
3528502003001,3.37375
3528502003002,3.4314999999999984
3528502003003,3.2911475409836064
3529401005001,2.9233333333333333
3529401005002,3.37764705882353
3529401005003,3.424857142857144
3529401005004,3.182916666666667
3529401005005,3.2593548387096773
3529401005006,3.2883333333333327
3529401005007,3.712580645161292
3529401005008,3.290454545454545
3529401005009,3.2133333333333334
3529401005010,3.4485714285714275
3529401005011,3.614827586206896
3529401005012,3.2563333333333344
3529401005013,3.3165
3529401005014,3.400416666666667
3529401005015,3.1715789473684217
3529401005016,3.217954545454546
3529401005017,3.1915384615384617
3529401005018,3.2520000000000007
3529401005019,3.24
3529401005020,3.3411764705882354
3529401005021,3.618823529411765
3530300003001,3.105588235294117
3530300003002,3.0206249999999994
3530607005001,3.06
3530607005002,3.475714285714286
3530607005003,3.393333333333333
3530607005004,2.7412
3530607005005,3.075555555555556
3530607005006,3.505909090909092
3530607005007,3.4734146341463417
3530607005008,3.478235294117648
3530607005009,3.4473333333333334
3530607005010,3.3944444444444444
3530607005011,3.439285714285714
3530607005012,3.4552941176470595
3530607005013,3.2393750000000003
3530607005014,3.39625
3530607005015,3.605714285714285
3530607005016,2.8990476190476184
3530607005017,3.22
3530607005018,3.521212121212121
3530607005019,3.3652941176470583
3530607005020,3.049473684210527
3530607005021,3.3222222222222224
3530607005022,3.052857142857142
3530607005023,3.675
3530607005024,3.2020000000000004
3531100003001,3.2715686274509808
3531100003002,3.004545454545455
3531803003001,3.3239999999999994
3531803003002,3.373783783783783
3532009001001,3.435161290322581
3532405001001,3.188333333333333
3533403003001,3.261111111111111
3533403003002,3.2537288135593228
3534401005001,3.553962264150943
3534401005002,3.3934545454545466
3534401005003,3.1984444444444446
3534401005004,3.375510204081632
3534401005005,3.45075
3534401005006,3.433170731707317
3534401005007,3.1635593220338984
3534401005008,3.1751666666666685
3534401005009,2.912363636363637
3534401005010,3.0360975609756102
3534401005011,3.3006779661016945
3534401005012,3.3319117647058825
3534401005013,3.376440677966101
3534401005014,3.5333333333333328
3534401005015,3.453703703703704
3534401005016,3.382558139534884
3534401005017,3.4955813953488373
3534401005018,3.467333333333333
3536505003001,3.39125
3536505003002,3.4604000000000004
3536505003003,3.469428571428572
3536505003004,3.246249999999999
3537107003001,3.25
3537107003002,3.279655172413793
3538006003001,3.564
