AP;num_firms
1500909003002;89
1503705003002;274
1503705003001;265
1503804003002;427
1503804003001;274
1506195003002;192
1506195003001;161
1500206003001;24
1500206003002;313
1500131001001;97
1500305001001;77
1500347001001;357
1500503001001;492
1500701001001;137
1500859001001;394
1500958001001;170
1501006001001;90
1501105001001;70
1501204001001;225
1501253001001;132
1501451001001;202
1501576001001;258
1501600001001;81
1501725001001;278
1501758001001;103
1501907001001;125
1501956001001;121
1502004001001;138
1502152001001;1676
1502509001001;60
1502608001001;40
1502756001001;274
1502764001001;233
1502772001001;399
1502806001001;98
1502855001001;76
1502905001001;251
1502954003001;454
1503002001001;61
1503044001001;249
1503077001001;158
1503093001001;524
1503101001001;186
1503408001001;91
1503507001001;209
1503754001001;268
1504000001001;80
1504059001001;488
1504109001001;36
1504307001001;111
1504406001001;209
1504455001001;286
1504505001001;73
1504604001001;168
1504901001001;133
1504950001001;145
1504976001001;152
1505007001001;134
1505031001001;1452
1505205001001;130
1505403001001;161
1505437001001;533
1505494001001;84
1505551001001;122
1505601001001;65
1505635001001;262
1505650001001;226
1505700001001;101
1505908001001;235
1506005001001;195
1506104001001;74
1506112001001;48
1506161001001;567
1506203003001;713
1506302001001;223
1506351001001;199
1506401001001;50
1506559001001;144
1506583001001;469
1506609001001;365
1506906001001;33
1507003001001;331
1507151001001;346
1507201001001;164
1507409001001;184
1507458001001;509
1507466001001;28
1507474001001;118
1507508001001;36
1507706001001;140
1507805001001;189
1507904001001;301
1507961001001;93
1507979001001;243
1508035001001;125
1508050001001;291
1508126003001;367
1508308003002;312
1508357001001;239
1508407003002;1549
1500602003002;42
1600303005011;235
1600303005010;2651
1600303005013;771
1600303005012;259
1600303005015;175
1600303005014;203
1600303005017;208
1600303005016;231
1600303005019;351
1600303005018;139
1600303005002;308
1600303005001;346
1600303005004;301
1600303005003;481
1600303005006;133
1600303005005;95
1600303005008;440
1600303005007;173
1600303005009;788
1600600003002;569
1600600003001;284
1600600003003;487
1600253001001;33
1600055001001;42
1600105001001;58
1600154001001;117
1600204001001;101
1600212001001;34
1600238001001;72
1600279003001;412
1600402001001;105
1600501001001;325
1600535001001;202
1600550001001;21
1600709001001;121
1600808001001;148
1716109003002;1490
1716109003001;715
1718204003002;1933
1718204003001;488
1702109003001;343
1702109003003;489
1702109003002;1333
1702109003005;491
1702109003004;1973
1702109003007;877
1702109003006;982
1705508003001;654
1705508003002;486
1713601001001;212
1709500003001;332
1709500003003;1830
1709500003002;802
1709500003004;895
1720655001001;140
1721000005002;1006
1721000005001;1768
1721000005004;2150
1721000005003;3301
1721000005006;261
1721000005005;3496
1721000005008;236
