"code_weighting","estabs10","estabs21"
"1702158001001",94,95
"1702208001001",456,517
"1702307001001",286,226
"1702406001001",213,247
"1702554001001",394,455
"1702703001001",57,57
"1702901001001",162,108
"1703008001001",163,154
"1703057001001",106,150
"1703073001001",48,63
"1703107001001",112,120
"1703206001001",77,96
"1703305001001",33,76
"1703602001001",45,56
"1703701001001",161,174
"1703800001001",153,121
"1703826001001",26,30
"1703842001001",163,202
"1703867001001",126,184
"1703883001001",41,40
"1703891001001",30,41
"1703909001001",101,113
"1704105001001",28,42
"1704600001001",23,43
"1705102001001",43,82
"1705557001001",123,104
"1705607001001",83,65
"1706001001001",93,137
"1706100001001",251,222
"1706258001001",35,44
"1706506001001",92,111
"1707009001001",491,635
"1707108001001",232,251
"1707207001001",139,210
"1707306001001",210,239
"1707405001001",90,100
"1707553001001",92,120
"1707652001001",179,200
"1707702001001",183,148
"1708205001001",751,749
"1708254001001",89,109
"1708304001001",63,120
"1709005001001",142,167
"1709302001001",1052,813
"1709807001001",31,43
"1710508001001",108,105
"1710706001001",53,78
"1710904001001",68,70
"1711100001001",80,83
"1711506001001",74,93
"1711803001001",28,49
"1711902001001",176,310
"1711951001001",38,65
"1712009001001",165,140
"1712157001001",12,23
"1712405001001",28,50
"1712454001001",46,56
"1712504001001",102,175
"1712702001001",41,102
"1712801001001",28,42
"1713205001001",603,560
"1713304001001",330,382
"1713700001001",44,94
"1713809001001",64,79
"1713957001001",69,78
"1714203001001",255,353
"1714302001001",56,67
"1714880001001",231,224
"1715002001001",70,61
"1715101001001",66,114
"1715150001001",38,35
"1715259001001",29,45
"1715507001001",18,40
"1715705001001",77,143
"1715754001001",191,281
"1716208001001",134,186
"1716307001001",111,100
"1716505001001",418,448
"1716604001001",310,372
"1716653001001",78,107
"1716703001001",211,245
"1717008001001",60,78
"1717206001001",55,74
"1717503001001",226,238
"1717800001001",56,66
"1717909001001",96,169
"1718006001001",29,59
"1718303001001",54,53
"1718402001001",127,110
"1718451001001",39,58
"1718501001001",36,65
"1718550001001",40,48
"1718659001001",19,35
"1718709001001",47,45
"1718758001001",84,123
"1718808001001",34,43
"1718840001001",94,123
"1718865001001",161,241
"1718881001001",43,61
"1718899001001",146,337
"1718907001001",92,140
"1719004001001",37,53
"1720002001001",36,30
"1720101001001",68,70
"1720150001001",13,48
"1720200001001",56,102
"1720259001001",54,71
"1720309001001",55,43
"1720499001001",91,128
"1720804001001",73,139
"1720853001001",54,63
"1720903001001",243,283
"1720937001001",34,39
"1720978001001",121,128
"1721109001001",75,115
"1721208001001",466,473
"1721257001001",33,46
"1721307001001",41,41
"1722081001001",196,172
"1722107001001",292,276
"2112506003002",348,330
"2112506003001",184,243
"2109106003002",415,591
"2109106003001",553,608
"2112803003002",311,268
"2112803003001",314,288
"2107506003002",328,505
"2107506003001",213,227
"2107506003004",397,510
"2107506003003",352,344
"2103703003001",60,33
"2103703003002",281,192
"2103406003001",175,187
"2103406003002",236,224
"2105302004001",87,386
"2105302004003",675,854
"2105302004002",1038,982
"2105302004005",175,300
"2105302004004",1797,1717
"2105302004007",1816,1938
"2105302004006",423,375
"2105302004009",409,546
"2105302004008",225,278
"2102325003002",238,418
"2102325003001",447,514
"2105302004010",336,761
"2105302004012",789,934
"2105302004011",893,1102
"2111300005010",2674,3350
"2111300005012",912,917
"2111300005011",2350,6391
"2111300005014",971,1239
"2111300005013",448,1042
"2111300005016",573,858
"2111300005015",1243,1288
"2111300005018",482,383
"2111300005017",834,1037
"2111300005019",395,364
"2111300005001",3518,3750
"2111300005003",731,654
"2111300005002",705,561
"2111300005005",442,418
"2111300005004",1195,1040
"2111300005007",1095,1530
"2111300005006",691,814
"2111300005009",1327,2075
"2111300005008",1087,2580
"2111300005021",1288,647
"2111300005020",494,396
"2111300005023",159,73
"2111300005022",492,396
"2111300005025",525,759
"2111300005024",229,62
"2111300005027",569,872
"2111300005026",840,838
"2111300005029",62,147
"2111300005028",283,381
"2112704003002",252,362
"2112704003001",75,110
"2104800003002",757,749
"2104800003001",440,671
"2103307003001",246,233
"2103307003003",764,734
"2103307003002",114,123
"2103307003004",329,435
"2103208003001",504,542
"2103208003002",581,586
"2109601003002",406,396
"2109601003001",123,201
"2100055003002",91,99
"2100055003001",115,151
"2100055003004",1057,1273
"2100055003003",802,751
"2101400003001",1595,2559
"2101400003003",636,981
"2101400003002",232,366
"2103000003001",178,230
"2103000003003",200,252
"2103000003002",274,422
"2103000003005",103,138
"2103000003004",894,869
"2103000003007",334,376
"2103000003006",286,329
"2101608003001",NA,1
"2101608003003",388,409
"2101608003002",894,863
"2105351001001",31,59
"2109809003002",93,155
"2109809003001",95,155
"2101707003001",135,178
"2101707003002",435,701
"2112308003002",9,5
"2112308003001",203,167
"2106409001001",172,203
"2110500003002",91,121
"2110500003001",222,268
"2105401003002",389,412
"2105401003001",369,439
"2101202003001",860,740
"2101202003003",469,463
"2101202003002",36,22
"2101202003004",438,346
"2105476001001",71,54
"2107803003002",1,NA
"2107803003001",215,252
"2105708003002",318,413
"2105708003001",443,471
"2103604003001",126,206
"2103604003002",417,462
"2112209003002",253,305
"2112209003001",214,229
"2112209003004",155,167
"2112209003003",252,364
"2112209003006",284,307
"2112209003005",781,1202
"2112209003007",217,186
"2108207003001",225,291
"2108207003002",820,926
"2102002003002",99,106
"2102002003001",172,190
"2104057003002",475,344
"2104057003001",399,292
"2100808001001",67,78
"2103505003001",263,261
"2103505003002",144,226
"2111508003001",79,86
"2111508003002",319,358
"2114007003002",628,585
"2114007003001",49,46
"2108603003001",253,335
"2108603003003",488,498
"2108603003002",399,372
"2109908003002",1117,1277
"2109908003001",269,315
"2109908003003",466,415
"2110708003002",57,96
"2110708003001",264,319
"2111201003001",321,261
"2111201003003",582,814
"2111201003002",260,224
"2111201003005",200,155
"2111201003004",83,76
"2111201003007",693,594
"2111201003006",108,153
"2110005003002",283,332
"2110005003001",8,2
"2110005003003",357,363
"2100105001001",14,36
"2100154001001",77,96
"2100204001001",98,157
"2100303001001",160,131
"2100402001001",38,55
"2100436001001",151,222
"2100477001001",95,122
"2100501001001",197,288
