sector;concurb_name;participation
Business;BRASILIA;0,1455178457972971
Business;BRUSQUE;0,0329308658692545
Business;CABO FRIO;0,10248447204968943
Business;CACHOEIRO DE ITAPEMIRIM;0,05165622202327663
Business;CAMETA;0,0029013539651837525
Business;CAMPINA GRANDE;0,08895048949085932
Business;CAMPINAS;0,15361302298076449
Business;CAMPO GRANDE;0,11634866304249128
Business;CAMPOS DOS GOYTACAZES;0,06251518769347801
Business;CARAGUATATUBA - UBATUBA - SAO SEBASTIAO;0,09924054953494325
Business;CARUARU;0,09266349868380568
Business;CASCAVEL;0,08450672417881461
Business;CASTANHAL;0,024180940138276066
Business;CATALAO;0,05858843163950986
Business;CATANDUVA;0,06473485118835201
Business;CAXIAS;0,017882629502140878
Business;CAXIAS DO SUL;0,05713952035909596
Business;CHAPECO;0,06584303566853597
Business;CODO;0,023855385983108608
Business;COLATINA;0,06848582129481005
Business;CONSELHEIRO LAFAIETE;0,07950858145752128
Business;CRICIUMA;0,060071440227738394
Business;CUIABA;0,10045832319633341
Business;CURITIBA;0,14797116722458709
Business;DIVINOPOLIS;0,08095125457158973
Business;DOURADOS;0,07652301562336164
Business;EUNAPOLIS;0,03969191270860077
Business;FEIRA DE SANTANA;0,06170118570988605
Business;FLORIANOPOLIS;0,2026907535549409
Business;FORMOSA;0,022232885476647472
Business;FORTALEZA;0,16471945733535512
Business;FRANCA;0,05522513900282563
Business;GARANHUNS;0,046218748061294126
Business;GOIANIA;0,13930056821510162
Business;GOVERNADOR VALADARES;0,0732186272676267
Business;GUARAPARI;0,15482704955068025
Business;GUARAPUAVA;0,03837062283546809
Business;GUARATINGUETA;0,051051779935275085
Business;ILHEUS;0,04920640072706028
Business;IMPERATRIZ;0,051237079650156676
Business;INDAIATUBA;0,09032174907760968
Business;INTERNACIONAL DE CORUMBA;0,05226381866727262
Business;INTERNACIONAL DE FOZ DO IGUACU;0,08228412256267409
Business;INTERNACIONAL DE PEDRO JUAN CABALLERO;0,0324812030075188
Business;INTERNACIONAL DE SANT'ANA DO LIVRAMENTO;0,04403653912443985
Business;INTERNACIONAL DE URUGUAIANA;0,10074095183813052
Business;IPATINGA;0,07026563838903171
Business;ITABIRA;0,082583392476934
Business;ITABUNA;0,07512879591995236
Business;ITAJAI - BALNEARIO CAMBORIU;0,12230291107716133
Business;ITAJUBA;0,06290053713650676
Business;ITAPETININGA;0,06733174508636093
Business;ITAPIPOCA;0,01580002358212475
Business;ITATIBA;0,14162719420451378
Business;ITU - SALTO;0,09114626417399493
Business;JARAGUA DO SUL;0,07948345476797784
Business;JAU;0,031056987822260008
Business;JEQUIE;0,045932234100380505
Business;JI-PARANA;0,04814831280842929
Business;JOAO PESSOA;0,0721982457718883
Business;JOINVILLE;0,126530933928806
Business;JUAZEIRO DO NORTE;0,034007585335018964
Business;JUIZ DE FORA;0,12016968816951734
Business;JUNDIAI;0,12919418865384538
Business;LAGES;0,08119612923695203
Business;LAJEADO;0,045653522051581366
Business;LAVRAS;0,05637762651672092
Business;LIMEIRA;0,05275374551593163
Business;LINHARES;0,035599904714009686
Business;LONDRINA;0,1200933032997769
Business;MACAE - RIO DAS OSTRAS;0,14282185012352455
Business;MACAPA;0,09030231240665396
Business;MACEIO;0,10246627658187563
Business;MANAUS;0,11944363210995759
Business;MARABA;0,03662714097496706
Business;MARILIA;0,0651435266549502
Business;MARINGA;0,08544203988548693
Business;MOGI GUACU - MOGI MIRIM;0,08402602351148054
Business;MONTES CLAROS;0,06392814139205293
Business;MOSSORO;0,07182899355582334
Business;MURIAE;0,047475788172264576
Business;NATAL;0,10723133412225307
Business;NOVA FRIBURGO;0,04933351929705712
Business;OURINHOS;0,07627341316016667
Business;PALMAS;0,053071784239717895
Business;PARANAGUA;0,06529850746268656
Business;PARAUAPEBAS;0,12463844333420983
