"";"areap";"domicilio01_V019";"domicilio01_V020";"domicilio01_V021";"domicilio01_V022";"domicilio01_V023";"domicilio01_V017";"domicilio01_V018";"domicilio01_V119";"domicilio01_V158";"domicilio01_V197";"domicilio01_V026";"domicilio01_V027";"domicilio01_V028";"domicilio01_V029";"domicilio01_V030";"domicilio01_V031";"domicilio01_V032";"domicilio01_V033";"fcu";"DPP0";"DPP1";"DPP2";"DPP3";"DPP4";"DPP5";"reg"
"7344";"3552809005006";66;111;667;10;6;7710;120;6428;16;129;1644;318;49;14;2;4;1;1;4;430;625;6444;129;1644;389;"3"
"7345";"3552809005007";82;19;103;149;6;8986;133;6885;233;11;1892;355;58;8;3;0;0;0;5;88;1642;7118;11;1892;424;"3"
"7346";"3552809005008";74;491;789;93;14;10015;111;8709;28;46;2290;385;56;12;2;4;1;0;15;1164;2009;8737;46;2290;460;"3"
"7347";"3552809005009";10;358;151;6;3;6229;684;5037;38;816;1199;202;33;8;3;0;0;0;6;112;787;5075;816;1199;246;"3"
"7348";"3552809005010";1;94;73;49;0;3875;58;3081;4;20;810;117;27;5;2;1;1;0;2;149;148;3085;20;810;153;"3"
"7349";"3552908001001";212;12;2;3;2;1493;76;1325;0;0;386;61;17;1;1;0;0;0;0;0;0;1325;0;386;80;"3"
"7350";"3553005001001";329;14;6;0;4;2765;24;2530;1;0;499;85;10;3;2;1;0;0;0;0;0;2531;0;499;101;"3"
"7351";"3553104001001";126;9;11;16;1;1634;16;1379;0;0;352;56;11;3;0;0;0;0;0;0;0;1379;0;352;70;"3"
"7352";"3553203001001";42;3;11;0;0;1615;102;1196;0;0;462;83;20;6;3;2;0;1;0;0;0;1196;0;462;115;"3"
"7353";"3553302001001";442;18;6;9;3;5949;355;4578;188;0;1597;310;63;28;5;4;0;0;0;0;0;4766;0;1597;410;"3"
"7354";"3553401003001";1374;4;6;0;5;6340;370;5385;5;1;1930;614;95;26;7;4;0;1;1;236;81;5390;1;1930;747;"3"
"7355";"3553500001001";518;5;64;4;7;1439;311;1856;20;1;380;52;12;3;1;1;0;0;0;0;0;1876;1;380;69;"3"
"7356";"3553609001001";288;6;169;5;0;3210;137;2600;0;11;971;167;40;14;8;2;1;1;0;0;0;2600;11;971;233;"3"
