isic_12,num_emp,med_eco,mun_code
Construction,18,346.4587846291736,2708808
Mining,5,228.25029148511112,2708808
Manufacturing,4,780.014365260557,2708907
Manufacturing,5,11347.275,2709152
Utilities,6,8205.418216792437,2709152
Business,3,71.13255766342549,2709301
Manufacturing,4,1920.6498273712305,1600204
Mining,15,24.038076133677592,1600204
Mining,7,1586.4854761904762,1600238
Utilities,3,10.92400012121212,1600303
Trade,10,170.99531879999998,1600303
Mining,8,15.485371425294227,1600303
Manufacturing,9,4.187077565697805,1600501
Trade,20,991.3465921281528,1600501
Manufacturing,15,51477.64223635875,1600535
Trade,6,99.52956940958718,1600535
Manufacturing,12,14025.499742984392,1600600
Utilities,6,2810.1342931367144,1600600
Utilities,3,159.72312540333186,1600055
Utilities,10,207.587565575,1300029
Utilities,9,37.16362264,1300060
Utilities,3,915.020334736842,1300102
Utilities,9,165.8499922209257,1300144
Utilities,16,278.1838532900433,1300201
Utilities,12,144.08833347030964,1300300
Utilities,9,108.54428333333334,1300409
Utilities,20,460.2624702708334,1300508
Utilities,8,100.60656832377649,1300607
Utilities,9,31.5415873015873,1300631
Utilities,8,542.0699033890887,1300680
Manufacturing,8,2612.1759821965966,1300706
Utilities,12,38184.72617285477,1300805
Utilities,3,221.0398060189166,1300839
Utilities,10,42.65478515151516,1300904
Utilities,9,17.477795281806085,1301001
Utilities,9,598.5186213235295,1301100
Utilities,8,179.79461095238094,1301159
Utilities,11,405.8152634782609,1301209
Trade,12,11.59742833076146,1301209
Business,4,899.6782851550738,1301209
Mining,32,2387.479617196624,1301209
Utilities,12,398.910803125,1301308
Utilities,9,2159.010888888889,1301407
Manufacturing,4,53.14484812841529,1301506
Utilities,8,58198.81552655113,1301506
Utilities,9,992.7844,1301605
Manufacturing,8,2932.720257255153,1301704
Utilities,10,2986.545088125,1301704
Manufacturing,4,0.4173892645836254,1301803
Utilities,8,19436.8327761194,1301803
Manufacturing,42,1651.894,1301852
Utilities,7,209.06833,1301852
Manufacturing,33,459.10184374674,1301902
Utilities,26,465.1281259935659,1301902
Trade,9,2285.9391336530443,1301902
Transport,15,160.64382999999998,1301902
Utilities,8,821.3986770954127,1301951
Manufacturing,80,310.4410833333333,1302009
Utilities,9,438.6101829737414,1302009
Manufacturing,7,40.91943772062531,1302108
Utilities,27,124.82796671052633,1302108
Utilities,9,3.172217613168724,1302207
Utilities,9,944.7038784530388,1302306
Utilities,9,654.7449741334713,1302405
Manufacturing,4,93.84758719444444,1302504
Utilities,29,62.90658161290322,1302504
Utilities,8,5561.699278205128,1302553
Manufacturing,2178,317.9216656366921,1302603
Utilities,113,502.2895201129468,1302603
Trade,20,67.59471971215468,1302603
Business,11,27.147755610972567,1302603
Construction,55,486.65821442307697,1302603
Transport,10,23.73634928037437,1302603
Mining,21,252.1193167414807,1302603
Manufacturing,20,256.30914562289564,1302702
Utilities,8,261.8713894026602,1302702
Utilities,9,9416.37638907717,1302801
Utilities,8,4352.1173561495,1302900
Agriculture,4,3438.0193378204426,1302900
Utilities,9,43283.456033848415,1303007
Utilities,10,167.91533052418043,1303106
Utilities,8,19.62881642142217,1303205
Utilities,9,5393.178666666667,1303304
Utilities,17,163.293351,1303403
Utilities,9,16.61448608695652,1303502
Manufacturing,12,101.90069182389936,1303536
Agriculture,32,2304.75299469697,1303536
Mining,13,1374.209174987559,1303536
Manufacturing,5,57.36859151952916,1303569
Utilities,9,45.61128436426117,1303569
Trade,3,7.561119539724421,1303569
Utilities,9,61.08137852585181,1303601
Utilities,18,1499.0110246733911,1303700
