cod_ibge,invest_melhorias_mes_25_40
1303569,3.110626575365339e-08
1303601,2.1893112232720217e-08
1303700,4.7007662165643663e-08
1303809,7.367356784606984e-08
1303908,5.986966772536786e-08
1303957,2.538366266462399e-08
1304005,1.9605654013174998e-08
1304062,8.487340653346505e-08
1304104,4.157791704935177e-08
1304203,9.308134485064226e-08
1304237,3.939335487428715e-08
1304260,2.0713765261398626e-08
1304302,4.24010854051706e-08
1304401,2.942826872063311e-08
1400027,1.7254875150877474e-08
1400050,2.5494473789450236e-08
1400100,1.9542333370430457e-07
1400159,3.1035030030555426e-08
1400175,5.567467514280421e-08
1400209,2.8399308275853105e-08
1400233,1.7666459328786888e-08
1400282,6.15001742763252e-09
1400308,1.8489627684618657e-08
1400407,2.384813707779964e-08
1400456,2.8510119400679347e-08
1400472,4.351711173373989e-08
1400506,7.273958836543483e-09
1400605,7.701373175143427e-09
1400704,2.1418207412058494e-08
1500107,2.8777649116326293e-07
1500131,7.748863657210086e-09
1500206,1.374374551009052e-07
1500305,6.497489454752667e-08
1500347,2.5795246842533405e-08
1500404,9.568540628397489e-08
1500503,5.876155647714423e-08
1500602,1.454237711684558e-07
1500701,7.023842297658566e-08
1500800,5.549104527882252e-07
1500859,7.725118416176289e-08
1500909,1.1060533273324616e-07
1500958,5.603085375830698e-08
1501006,2.921456155133922e-08
1501105,4.128505907661427e-08
1501204,4.84640369490244e-08
1501253,4.07626637738835e-09
1501303,2.2516029055837942e-07
1501402,1.2302567680975263e-06
1501451,2.344446798023588e-08
1501501,7.806643743723605e-08
1501576,3.0441399004721804e-08
1501600,2.4489258585707197e-08
1501709,2.510742636060848e-07
1501725,4.30817823147935e-08
1501758,1.8434222122199064e-08
1501782,9.345335362683634e-08
1501808,1.8572736028236403e-07
1501907,5.603876883865263e-08
1501956,4.58045699532851e-08
1502004,3.297422471494354e-08
1502103,2.8574231551473985e-07
1502152,6.21808711859371e-08
1502202,1.2119571023411644e-07
1502301,1.1613005881367299e-07
1502400,2.8547320278303934e-07
1502509,4.390495067062528e-08
1502608,2.696667873350934e-08
1502707,6.906699108560973e-08
1502756,7.171062792064475e-08
1502764,1.726279023122313e-08
1502772,3.223812224291398e-08
1502806,7.651508168973334e-08
1502855,3.391611927593427e-08
1502905,4.064393756870671e-08
1502939,6.237083311420696e-08
1502954,5.309435895052148e-08
1503002,1.0281689367431975e-08
1503044,3.2926734232882546e-08
1503077,5.0791070570284947e-08
1503093,4.871731952004657e-08
1503101,6.125480678563768e-08
1503200,8.276008008149841e-08
1503309,1.4876393507380507e-07
1503408,1.706491322260761e-08
1503457,5.238200171951595e-08
1503507,8.175486487775536e-08
1503606,1.8446886250758588e-07
1503705,8.161239343154649e-08
1503754,3.47392876317531e-08
1503804,7.568399825355591e-08
1503903,7.626971419904388e-08
