month,class_range,count
2023-02-01,55-59,1523
2023-02-01,35-39,1742
2023-02-01,50-54,1822
2023-02-01,60-64,1424
2023-02-01,40-44,2475
2023-02-01,75-79,680
2023-02-01,20-24,641
2023-02-01,30-34,891
2023-02-01,70-74,1136
2023-02-01,45-49,1884
2023-03-01,60-64,1432
2023-03-01,45-49,1889
2023-03-01,40-44,2467
2023-03-01,35-39,1728
2023-03-01,55-59,1492
2023-03-01,75-79,674
2023-03-01,15-19,270
2023-03-01,25-29,540
2023-03-01,30-34,879
2023-03-01,50-54,1858
2023-03-01,70-74,1158
2023-03-01,65-69,1375
2023-03-01,20-24,617
2023-04-01,40-44,2443
2023-04-01,30-34,873
2023-04-01,45-49,1906
2023-04-01,65-69,1379
2023-04-01,15-19,277
2023-04-01,35-39,1719
2023-04-01,70-74,1152
2023-04-01,20-24,609
2023-04-01,25-29,536
2023-04-01,60-64,1435
2023-04-01,55-59,1501
2023-04-01,75-79,695
2023-04-01,50-54,1857
2023-05-01,15-19,286
2023-05-01,75-79,692
2023-05-01,45-49,1908
2023-05-01,40-44,2427
2023-05-01,20-24,600
2023-05-01,55-59,1517
2023-05-01,35-39,1715
2023-05-01,50-54,1867
2023-05-01,70-74,1178
2023-05-01,65-69,1380
2023-05-01,25-29,528
2023-05-01,30-34,862
2023-05-01,60-64,1427
2023-06-01,20-24,593
2023-06-01,70-74,1194
2023-06-01,55-59,1535
2023-06-01,25-29,528
2023-06-01,50-54,1858
2023-06-01,35-39,1698
2023-06-01,65-69,1368
2023-06-01,60-64,1424
2023-06-01,15-19,292
2023-06-01,30-34,841
2023-06-01,45-49,1917
2023-06-01,40-44,2430
2023-06-01,75-79,708
2023-07-01,30-34,851
2023-07-01,35-39,1687
2023-07-01,20-24,584
2023-07-01,55-59,1571
2023-07-01,45-49,1936
2023-07-01,70-74,1193
2023-07-01,60-64,1403
2023-07-01,75-79,707
2023-07-01,40-44,2367
2023-07-01,50-54,1868
2023-07-01,65-69,1381
2023-07-01,15-19,315
2023-07-01,25-29,526
2023-08-01,45-49,1950
2023-08-01,35-39,1666
2023-08-01,65-69,1386
2023-08-01,20-24,572
2023-08-01,15-19,328
2023-08-01,30-34,845
2023-08-01,40-44,2359
2023-08-01,55-59,1563
2023-08-01,60-64,1384
2023-08-01,25-29,533
2023-08-01,70-74,1204
2023-08-01,50-54,1871
2023-08-01,75-79,729
2023-09-01,30-34,833
2023-09-01,25-29,532
2023-09-01,45-49,1949
2023-09-01,15-19,342
2023-09-01,70-74,1178
2023-09-01,20-24,563
2023-09-01,50-54,1872
2023-09-01,35-39,1653
2023-09-01,65-69,1386
2023-09-01,60-64,1404
2023-09-01,40-44,2353
2023-09-01,75-79,748
2023-09-01,55-59,1582
2023-10-01,30-34,819
2023-10-01,75-79,749
2023-10-01,20-24,564
2023-10-01,55-59,1604
2023-10-01,45-49,1967
2023-10-01,40-44,2328
2023-10-01,15-19,358
2023-10-01,25-29,531
2023-10-01,65-69,1398
2023-10-01,60-64,1399
2023-10-01,50-54,1871
2023-10-01,70-74,1171
2023-10-01,35-39,1641
2023-11-01,30-34,812
2023-11-01,60-64,1371
2023-11-01,65-69,1405
2023-11-01,25-29,537
2023-11-01,50-54,1885
2023-11-01,45-49,1968
2023-11-01,70-74,1147
2023-11-01,75-79,773
2023-11-01,15-19,373
2023-11-01,40-44,2328
2023-11-01,55-59,1623
2023-11-01,20-24,560
2023-11-01,35-39,1625
2023-12-01,25-29,529
2023-12-01,35-39,1617
2023-12-01,65-69,1409
2023-12-01,50-54,1822
2023-12-01,15-19,389
2023-12-01,55-59,1623
2023-12-01,70-74,1152
2023-12-01,45-49,2020
2023-12-01,20-24,554
2023-12-01,75-79,800
2023-12-01,40-44,2312
2023-12-01,30-34,813
2023-12-01,60-64,1370
2024-01-01,50-54,1777
2024-01-01,60-64,1349
2024-01-01,55-59,1669
2024-01-01,70-74,1186
2024-01-01,40-44,2267
2024-01-01,75-79,800
2024-01-01,65-69,1398
2024-01-01,35-39,1634
2024-01-01,30-34,800
2024-01-01,20-24,545
2024-01-01,45-49,2064
2024-01-01,15-19,393
2024-01-01,25-29,529
2024-02-01,25-29,534
2024-02-01,55-59,1717
2024-02-01,50-54,1731
2024-02-01,45-49,2107
2024-02-01,70-74,1166
2024-02-01,35-39,1660
2024-02-01,65-69,1401
2024-02-01,75-79,800
2024-02-01,15-19,402
2024-02-01,30-34,795
2024-02-01,60-64,1324
2024-02-01,40-44,2226
2024-02-01,20-24,553
2024-03-01,25-29,535
2024-03-01,35-39,1689
2024-03-01,55-59,1754
2024-03-01,45-49,2148
2024-03-01,70-74,1143
2024-03-01,65-69,1417
2024-03-01,40-44,2184
2024-03-01,50-54,1697
2024-03-01,20-24,552
2024-03-01,60-64,1307
2024-03-01,15-19,397
2024-03-01,75-79,827
2024-03-01,30-34,773
2024-04-01,55-59,1755
2024-04-01,75-79,849
2024-04-01,25-29,526
2024-04-01,30-34,763
2024-04-01,40-44,2140
2024-04-01,50-54,1695
2024-04-01,60-64,1287
2024-04-01,20-24,552
2024-04-01,15-19,399
2024-04-01,65-69,1402
2024-04-01,45-49,2191
2024-04-01,35-39,1711
2024-04-01,70-74,1155
2024-05-01,70-74,1156
2024-05-01,20-24,552
2024-05-01,30-34,744
2024-05-01,45-49,2222
2024-05-01,35-39,1734
2024-05-01,40-44,2108
2024-05-01,50-54,1651
2024-05-01,25-29,524
2024-05-01,55-59,1794
2024-05-01,65-69,1397
2024-05-01,15-19,402
2024-05-01,75-79,883
2024-05-01,60-64,1262
2024-06-01,25-29,527
2024-06-01,40-44,2070
2024-06-01,55-59,1751
2024-06-01,65-69,1361
2024-06-01,45-49,2274
2024-06-01,15-19,408
2024-06-01,30-34,751
2024-06-01,20-24,570
2024-06-01,75-79,889
2024-06-01,50-54,1660
2024-06-01,35-39,1769
2024-06-01,70-74,1155
2024-06-01,60-64,1244
2024-07-01,30-34,740
2024-07-01,60-64,1211
2024-07-01,15-19,416
2024-07-01,45-49,2320
2024-07-01,25-29,535
2024-07-01,50-54,1627
2024-07-01,40-44,2030
2024-07-01,35-39,1795
2024-07-01,65-69,1349
2024-07-01,20-24,557
2024-07-01,75-79,921
2024-07-01,70-74,1145
2024-07-01,55-59,1786
2024-08-01,60-64,1177
2024-08-01,35-39,1819
2024-08-01,50-54,1578
2024-08-01,15-19,419
2024-08-01,25-29,531
2024-08-01,55-59,1837
2024-08-01,65-69,1369
2024-08-01,70-74,1144
2024-08-01,40-44,1977
2024-08-01,45-49,2378
2024-08-01,75-79,899
2024-08-01,30-34,738
2024-08-01,20-24,566
2024-09-01,35-39,1831
2024-09-01,65-69,1379
2024-09-01,60-64,1152
2024-09-01,15-19,418
2024-09-01,30-34,734
2024-09-01,75-79,871
2024-09-01,25-29,534
2024-09-01,70-74,1169
2024-09-01,45-49,2428
2024-09-01,40-44,1936
2024-09-01,55-59,1881
2024-09-01,50-54,1531
2024-09-01,20-24,567
2024-10-01,20-24,564
2024-10-01,40-44,1877
2024-10-01,15-19,418
2024-10-01,75-79,873
2024-10-01,55-59,1883
2024-10-01,65-69,1358
2024-10-01,35-39,1842
2024-10-01,25-29,528
2024-10-01,60-64,1152
2024-10-01,30-34,734
2024-10-01,70-74,1190
2024-10-01,45-49,2488
2024-10-01,50-54,1527
2024-11-01,30-34,727
2024-11-01,25-29,527
2024-11-01,15-19,419
2024-11-01,20-24,560
2024-11-01,75-79,894
2024-11-01,40-44,1829
2024-11-01,55-59,1913
2024-11-01,35-39,1859
2024-11-01,65-69,1365
2024-11-01,60-64,1123
2024-11-01,70-74,1190
2024-11-01,45-49,2531
2024-11-01,50-54,1499
2024-12-01,25-29,525
2024-12-01,65-69,1363
2024-12-01,70-74,1201
2024-12-01,30-34,717
2024-12-01,75-79,908
2024-12-01,15-19,418
2024-12-01,40-44,1781
2024-12-01,45-49,2580
2024-12-01,60-64,1101
2024-12-01,50-54,1498
2024-12-01,35-39,1879
2024-12-01,55-59,1911
2024-12-01,20-24,557
2025-01-01,55-59,1904
2025-01-01,45-49,2619
2025-01-01,60-64,1120
2025-01-01,70-74,1197
2025-01-01,30-34,721
2025-01-01,20-24,560
2025-01-01,65-69,1343
2025-01-01,40-44,1769
2025-01-01,35-39,1857
2025-01-01,50-54,1466
2025-01-01,15-19,418
2025-01-01,25-29,525
2025-01-01,75-79,938
2025-02-01,45-49,2625
2025-02-01,50-54,1459
2025-02-01,15-19,418
2025-02-01,35-39,1837
2025-02-01,70-74,1195
2025-02-01,30-34,704
2025-02-01,40-44,1784
2025-02-01,20-24,566
2025-02-01,60-64,1090
2025-02-01,25-29,527
2025-02-01,65-69,1322
2025-02-01,75-79,941
2025-02-01,55-59,1945
2025-03-01,50-54,1461
2025-03-01,15-19,418
2025-03-01,25-29,527
2025-03-01,75-79,950
2025-03-01,20-24,581
2025-03-01,35-39,1824
2025-03-01,55-59,1955
2025-03-01,70-74,1173
2025-03-01,40-44,1779
2025-03-01,45-49,2586
2025-03-01,60-64,1099
2025-03-01,65-69,1331
2025-03-01,30-34,708
2025-04-01,65-69,1350
2025-04-01,55-59,1997
2025-04-01,35-39,1815
2025-04-01,45-49,2579
2025-04-01,15-19,409
2025-04-01,25-29,531
2025-04-01,20-24,595
2025-04-01,30-34,706
2025-04-01,60-64,1083
2025-04-01,75-79,925
2025-04-01,70-74,1141
2025-04-01,50-54,1480
2025-04-01,40-44,1782
2025-05-01,20-24,598
2025-05-01,30-34,706
2025-05-01,60-64,1085
2025-05-01,45-49,2554
2025-05-01,70-74,1107
2025-05-01,50-54,1533
2025-05-01,40-44,1791
2025-05-01,15-19,407
2025-05-01,25-29,525
2025-05-01,75-79,935
2025-05-01,35-39,1782
2025-05-01,65-69,1390
2025-05-01,55-59,1956
2025-06-01,55-59,1988
2025-06-01,65-69,1365
2025-06-01,20-24,597
2025-06-01,70-74,1077
2025-06-01,40-44,1795
2025-06-01,15-19,411
2025-06-01,75-79,941
2025-06-01,45-49,2569
2025-06-01,30-34,700
2025-06-01,60-64,1085
2025-06-01,35-39,1748
2025-06-01,50-54,1537
2025-06-01,25-29,532
2025-07-01,75-79,945
2025-07-01,55-59,2005
2025-07-01,65-69,1361
2025-07-01,70-74,1070
2025-07-01,25-29,532
2025-07-01,30-34,693
2025-07-01,20-24,599
2025-07-01,50-54,1544
2025-07-01,15-19,410
2025-07-01,40-44,1795
2025-07-01,35-39,1722
2025-07-01,45-49,2552
2025-07-01,60-64,1094
2025-08-01,65-69,1350
2025-08-01,50-54,1590
2025-08-01,55-59,2006
2025-08-01,30-34,689
2025-08-01,40-44,1836
2025-08-01,75-79,969
2025-08-01,25-29,541
2025-08-01,70-74,1076
2025-08-01,20-24,585
2025-08-01,45-49,2506
2025-08-01,15-19,404
2025-08-01,35-39,1701
2025-08-01,60-64,1074
2025-09-01,75-79,971
2025-09-01,65-69,1316
2025-09-01,70-74,1080
2025-09-01,20-24,586
2025-09-01,30-34,695
2025-09-01,40-44,1824
2025-09-01,50-54,1620
2025-09-01,35-39,1689
2025-09-01,25-29,561
2025-09-01,55-59,1959
2025-09-01,15-19,401
2025-09-01,45-49,2502
2025-09-01,60-64,1101
2025-10-01,25-29,566
2025-10-01,15-19,402
2025-10-01,55-59,1909
2025-10-01,60-64,1121
2025-10-01,35-39,1678
2025-10-01,30-34,691
2025-10-01,45-49,2508
2025-10-01,70-74,1073
2025-10-01,50-54,1663
2025-10-01,20-24,584
2025-10-01,40-44,1810
2025-10-01,65-69,1330
2025-10-01,75-79,933
2025-11-01,20-24,582
2025-11-01,25-29,570
2025-11-01,15-19,410
2025-11-01,55-59,1913
2025-11-01,75-79,913
2025-11-01,65-69,1333
2025-11-01,45-49,2500
2025-11-01,60-64,1142
2025-11-01,30-34,691
2025-11-01,50-54,1672
2025-11-01,40-44,1820
2025-11-01,70-74,1066
2025-11-01,35-39,1661
2025-12-01,75-79,913
2025-12-01,70-74,1107
2025-12-01,25-29,559
2025-12-01,45-49,2502
2025-12-01,20-24,596
2025-12-01,65-69,1328
2025-12-01,15-19,397
2025-12-01,55-59,1872
2025-12-01,50-54,1718
2025-12-01,60-64,1148
2025-12-01,30-34,691
2025-12-01,40-44,1808
2025-12-01,35-39,1634
2026-01-01,55-59,1825
2026-01-01,75-79,870
2026-01-01,25-29,582
2026-01-01,65-69,1358
2026-01-01,50-54,1726
2026-01-01,15-19,400
2026-01-01,30-34,701
2026-01-01,60-64,1126
2026-01-01,40-44,1809
2026-01-01,20-24,617
2026-01-01,35-39,1630
2026-01-01,70-74,1089
2026-01-01,45-49,2510
2026-02-01,45-49,2506
2026-02-01,50-54,1771
2026-02-01,30-34,699
2026-02-01,60-64,1126
2026-02-01,40-44,1804
2026-02-01,75-79,868
2026-02-01,15-19,395
2026-02-01,35-39,1613
2026-02-01,55-59,1824
2026-02-01,70-74,1095
2026-02-01,25-29,573
2026-02-01,65-69,1329
2026-02-01,20-24,616
2026-03-01,35-39,1598
2026-03-01,45-49,2494
2026-03-01,50-54,1784
2026-03-01,40-44,1797
2026-03-01,30-34,698
2026-03-01,65-69,1323
2026-03-01,70-74,1097
2026-03-01,60-64,1136
2026-03-01,20-24,629
2026-03-01,15-19,385
2026-03-01,55-59,1831
2026-03-01,25-29,578
2026-03-01,75-79,857
2026-04-01,30-34,692
2026-04-01,65-69,1333
2026-04-01,70-74,1121
2026-04-01,55-59,1820
2026-04-01,25-29,573
2026-04-01,75-79,826
2026-04-01,40-44,1797
2026-04-01,45-49,2494
2026-04-01,20-24,627
2026-04-01,15-19,383
2026-04-01,60-64,1143
2026-04-01,50-54,1798
2026-04-01,35-39,1573
2026-05-01,55-59,1808
2026-05-01,70-74,1148
2026-05-01,45-49,2459
2026-05-01,60-64,1154
2026-05-01,40-44,1811
2026-05-01,65-69,1335
2026-05-01,30-34,685
2026-05-01,50-54,1834
2026-05-01,75-79,807
2026-05-01,25-29,581
2026-05-01,20-24,619
2026-05-01,15-19,376
2026-05-01,35-39,1546
2026-06-01,30-34,668
2026-06-01,45-49,2456
2026-06-01,20-24,625
2026-06-01,60-64,1148
2026-06-01,75-79,836
2026-06-01,70-74,1104
2026-06-01,25-29,584
2026-06-01,15-19,373
2026-06-01,35-39,1546
2026-06-01,55-59,1812
2026-06-01,50-54,1854
2026-06-01,65-69,1360
2026-06-01,40-44,1801
2026-07-01,35-39,1534
2026-07-01,30-34,672
2026-07-01,45-49,2395
2026-07-01,50-54,1873
2026-07-01,20-24,609
2026-07-01,60-64,1162
2026-07-01,75-79,805
2026-07-01,70-74,1133
2026-07-01,55-59,1809
2026-07-01,40-44,1823
2026-07-01,65-69,1364
2026-07-01,25-29,585
2026-07-01,15-19,374
2026-08-01,60-64,1173
2026-08-01,15-19,370
2026-08-01,65-69,1365
2026-08-01,50-54,1822
2026-08-01,75-79,821
2026-08-01,40-44,1814
2026-08-01,30-34,665
2026-08-01,45-49,2444
2026-08-01,25-29,593
2026-08-01,70-74,1141
2026-08-01,35-39,1486
2026-08-01,55-59,1833
2026-08-01,20-24,606
2026-09-01,70-74,1151
2026-09-01,45-49,2487
2026-09-01,35-39,1454
2026-09-01,15-19,363
2026-09-01,50-54,1777
2026-09-01,60-64,1199
2026-09-01,75-79,820
2026-09-01,40-44,1820
2026-09-01,25-29,604
2026-09-01,65-69,1359
2026-09-01,55-59,1823
2026-09-01,20-24,601
2026-09-01,30-34,658
2026-10-01,60-64,1224
2026-10-01,15-19,361
2026-10-01,50-54,1784
2026-10-01,75-79,820
2026-10-01,70-74,1129
2026-10-01,45-49,2488
2026-10-01,20-24,610
2026-10-01,40-44,1811
2026-10-01,65-69,1385
2026-10-01,35-39,1434
2026-10-01,55-59,1817
2026-10-01,25-29,607
2026-10-01,30-34,654
2026-11-01,30-34,651
2026-11-01,70-74,1159
2026-11-01,40-44,1785
2026-11-01,50-54,1791
2026-11-01,15-19,354
2026-11-01,35-39,1416
2026-11-01,25-29,607
2026-11-01,55-59,1821
2026-11-01,65-69,1382
2026-11-01,75-79,795
2026-11-01,20-24,614
2026-11-01,60-64,1232
2026-11-01,45-49,2495
2026-12-01,15-19,350
2026-12-01,20-24,617
2026-12-01,45-49,2446
2026-12-01,70-74,1167
2026-12-01,35-39,1392
2026-12-01,65-69,1364
2026-12-01,30-34,639
2026-12-01,50-54,1789
2026-12-01,40-44,1817
2026-12-01,55-59,1827
2026-12-01,25-29,625
2026-12-01,60-64,1247
2026-12-01,75-79,798
2027-01-01,60-64,1251
2027-01-01,50-54,1771
2027-01-01,15-19,351
2027-01-01,45-49,2443
2027-01-01,65-69,1368
2027-01-01,35-39,1341
2027-01-01,25-29,634
2027-01-01,75-79,798
2027-01-01,20-24,618
2027-01-01,55-59,1854
2027-01-01,30-34,636
2027-01-01,40-44,1824
2027-01-01,70-74,1162
2027-02-01,55-59,1849
2027-02-01,75-79,799
2027-02-01,65-69,1399
2027-02-01,40-44,1812
2027-02-01,70-74,1134
2027-02-01,20-24,610
2027-02-01,35-39,1304
2027-02-01,45-49,2443
2027-02-01,25-29,655
2027-02-01,30-34,638
2027-02-01,60-64,1260
2027-02-01,15-19,364
2027-02-01,50-54,1791
2027-03-01,15-19,372
2027-03-01,70-74,1131
2027-03-01,35-39,1263
2027-03-01,60-64,1280
2027-03-01,25-29,653
2027-03-01,45-49,2479
2027-03-01,20-24,618
2027-03-01,75-79,830
2027-03-01,40-44,1810
2027-03-01,50-54,1743
2027-03-01,65-69,1394
2027-03-01,30-34,633
2027-03-01,55-59,1856
2027-04-01,25-29,661
2027-04-01,70-74,1159
2027-04-01,30-34,634
2027-04-01,60-64,1325
2027-04-01,55-59,1850
2027-04-01,50-54,1756
2027-04-01,20-24,618
2027-04-01,75-79,831
2027-04-01,40-44,1803
2027-04-01,45-49,2477
2027-04-01,65-69,1347
2027-04-01,35-39,1226
2027-04-01,15-19,376
2027-05-01,55-59,1843
2027-05-01,70-74,1127
2027-05-01,40-44,1795
2027-05-01,75-79,833
2027-05-01,45-49,2461
2027-05-01,25-29,692
2027-05-01,30-34,638
2027-05-01,60-64,1344
2027-05-01,20-24,607
2027-05-01,15-19,381
2027-05-01,35-39,1197
2027-05-01,65-69,1373
2027-05-01,50-54,1771
2027-06-01,65-69,1365
2027-06-01,40-44,1786
2027-06-01,35-39,1157
2027-06-01,20-24,615
2027-06-01,25-29,709
2027-06-01,55-59,1851
2027-06-01,70-74,1144
2027-06-01,30-34,637
2027-06-01,15-19,378
2027-06-01,50-54,1775
2027-06-01,75-79,832
2027-06-01,45-49,2467
2027-06-01,60-64,1327
2027-07-01,70-74,1120
2027-07-01,25-29,737
2027-07-01,30-34,639
2027-07-01,15-19,384
2027-07-01,50-54,1787
2027-07-01,40-44,1789
2027-07-01,45-49,2452
2027-07-01,60-64,1338
2027-07-01,20-24,604
2027-07-01,65-69,1396
2027-07-01,35-39,1124
2027-07-01,55-59,1848
2027-07-01,75-79,836
2027-08-01,75-79,835
2027-08-01,20-24,588
2027-08-01,30-34,641
2027-08-01,15-19,391
2027-08-01,25-29,754
2027-08-01,35-39,1122
2027-08-01,50-54,1792
2027-08-01,45-49,2461
2027-08-01,55-59,1841
2027-08-01,65-69,1401
2027-08-01,70-74,1141
2027-08-01,60-64,1354
2027-08-01,40-44,1739
2027-09-01,35-39,1093
2027-09-01,20-24,595
2027-09-01,50-54,1791
2027-09-01,15-19,392
2027-09-01,75-79,821
2027-09-01,25-29,764
2027-09-01,40-44,1715
2027-09-01,30-34,645
2027-09-01,45-49,2508
2027-09-01,60-64,1383
2027-09-01,55-59,1813
2027-09-01,70-74,1139
2027-09-01,65-69,1401
2027-10-01,25-29,777
2027-10-01,15-19,396
2027-10-01,30-34,654
2027-10-01,45-49,2511
2027-10-01,50-54,1791
2027-10-01,75-79,792
2027-10-01,60-64,1413
2027-10-01,70-74,1170
2027-10-01,20-24,600
2027-10-01,35-39,1056
2027-10-01,55-59,1808
2027-10-01,40-44,1711
2027-10-01,65-69,1391
2027-11-01,40-44,1702
2027-11-01,25-29,793
2027-11-01,20-24,603
2027-11-01,55-59,1816
2027-11-01,75-79,794
2027-11-01,70-74,1211
2027-11-01,50-54,1790
2027-11-01,60-64,1452
2027-11-01,30-34,658
2027-11-01,15-19,406
2027-11-01,35-39,1025
2027-11-01,65-69,1323
2027-11-01,45-49,2509
2027-12-01,50-54,1835
2027-12-01,45-49,2502
2027-12-01,30-34,655
2027-12-01,65-69,1355
2027-12-01,60-64,1464
2027-12-01,55-59,1773
2027-12-01,40-44,1721
2027-12-01,25-29,807
2027-12-01,75-79,762
2027-12-01,15-19,408
2027-12-01,70-74,1211
2027-12-01,20-24,601
2027-12-01,35-39,959
2028-01-01,65-69,1353
2028-01-01,30-34,659
2028-01-01,50-54,1843
2028-01-01,35-39,951
2028-01-01,25-29,803
2028-01-01,75-79,728
2028-01-01,15-19,416
2028-01-01,40-44,1701
2028-01-01,45-49,2486
2028-01-01,60-64,1479
2028-01-01,70-74,1223
2028-01-01,20-24,618
2028-01-01,55-59,1771
2028-02-01,30-34,651
2028-02-01,35-39,936
2028-02-01,70-74,1217
2028-02-01,20-24,633
2028-02-01,50-54,1873
2028-02-01,55-59,1774
2028-02-01,75-79,762
2028-02-01,65-69,1355
2028-02-01,45-49,2486
2028-02-01,60-64,1450
2028-02-01,40-44,1691
2028-02-01,25-29,787
2028-02-01,15-19,415
2028-03-01,30-34,659
2028-03-01,65-69,1363
2028-03-01,45-49,2468
2028-03-01,60-64,1417
2028-03-01,25-29,773
2028-03-01,40-44,1677
2028-03-01,70-74,1245
2028-03-01,50-54,1884
2028-03-01,75-79,763
2028-03-01,20-24,644
2028-03-01,55-59,1809
2028-03-01,35-39,914
2028-03-01,15-19,417
2028-04-01,35-39,901
2028-04-01,65-69,1370
2028-04-01,30-34,665
2028-04-01,25-29,755
2028-04-01,60-64,1422
2028-04-01,75-79,787
2028-04-01,15-19,422
2028-04-01,50-54,1900
2028-04-01,20-24,655
2028-04-01,55-59,1807
2028-04-01,40-44,1665
2028-04-01,70-74,1247
2028-04-01,45-49,2441
2028-05-01,20-24,666
2028-05-01,50-54,1901
2028-05-01,35-39,893
2028-05-01,30-34,658
2028-05-01,40-44,1663
2028-05-01,25-29,740
2028-05-01,75-79,816
2028-05-01,70-74,1249
2028-05-01,65-69,1359
2028-05-01,60-64,1443
2028-05-01,55-59,1812
2028-05-01,15-19,420
2028-05-01,45-49,2423
2028-06-01,70-74,1273
2028-06-01,25-29,727
2028-06-01,65-69,1334
2028-06-01,60-64,1488
2028-06-01,40-44,1644
2028-06-01,35-39,874
2028-06-01,50-54,1906
2028-06-01,55-59,1799
2028-06-01,30-34,658
2028-06-01,75-79,794
2028-06-01,45-49,2422
2028-06-01,20-24,687
2028-06-01,15-19,418
2028-07-01,60-64,1520
2028-07-01,40-44,1629
2028-07-01,35-39,871
2028-07-01,70-74,1283
2028-07-01,55-59,1812
2028-07-01,15-19,427
2028-07-01,45-49,2392
2028-07-01,20-24,698
2028-07-01,30-34,654
2028-07-01,25-29,720
2028-07-01,75-79,815
2028-07-01,50-54,1916
2028-07-01,65-69,1309
2028-08-01,30-34,655
2028-08-01,15-19,436
2028-08-01,20-24,710
2028-08-01,45-49,2378
2028-08-01,25-29,703
2028-08-01,60-64,1540
2028-08-01,70-74,1290
2028-08-01,55-59,1804
2028-08-01,75-79,850
2028-08-01,40-44,1606
2028-08-01,35-39,858
2028-08-01,65-69,1290
2028-08-01,50-54,1930
2028-09-01,70-74,1290
2028-09-01,20-24,729
2028-09-01,45-49,2371
2028-09-01,65-69,1309
2028-09-01,55-59,1797
2028-09-01,40-44,1587
2028-09-01,60-64,1563
2028-09-01,15-19,438
2028-09-01,50-54,1933
2028-09-01,30-34,650
2028-09-01,75-79,849
2028-09-01,35-39,849
2028-09-01,25-29,689
2028-10-01,75-79,872
2028-10-01,70-74,1301
2028-10-01,65-69,1301
2028-10-01,45-49,2336
2028-10-01,60-64,1579
2028-10-01,15-19,439
2028-10-01,30-34,643
2028-10-01,25-29,679
2028-10-01,55-59,1797
2028-10-01,40-44,1571
2028-10-01,35-39,843
2028-10-01,20-24,744
2028-10-01,50-54,1953
2028-11-01,30-34,642
2028-11-01,65-69,1324
2028-11-01,15-19,443
2028-11-01,40-44,1555
2028-11-01,25-29,670
2028-11-01,70-74,1278
2028-11-01,35-39,839
2028-11-01,45-49,2338
2028-11-01,60-64,1597
2028-11-01,50-54,1909
2028-11-01,20-24,763
2028-11-01,55-59,1807
2028-11-01,75-79,874
2028-12-01,20-24,771
2028-12-01,15-19,446
2028-12-01,25-29,662
2028-12-01,50-54,1966
2028-12-01,30-34,634
2028-12-01,65-69,1321
2028-12-01,40-44,1547
2028-12-01,45-49,2308
2028-12-01,75-79,877
2028-12-01,60-64,1596
2028-12-01,55-59,1781
2028-12-01,35-39,827
2028-12-01,70-74,1281
2029-01-01,35-39,832
2029-01-01,50-54,2014
2029-01-01,25-29,650
2029-01-01,45-49,2259
2029-01-01,15-19,461
2029-01-01,55-59,1780
2029-01-01,60-64,1561
2029-01-01,65-69,1299
2029-01-01,75-79,909
2029-01-01,40-44,1563
2029-01-01,30-34,643
2029-01-01,70-74,1273
2029-01-01,20-24,773
2029-02-01,70-74,1274
2029-02-01,45-49,2221
2029-02-01,40-44,1579
2029-02-01,30-34,622
2029-02-01,20-24,760
2029-02-01,35-39,824
2029-02-01,15-19,478
2029-02-01,25-29,664
2029-02-01,75-79,885
2029-02-01,60-64,1610
2029-02-01,50-54,2049
2029-02-01,55-59,1731
2029-02-01,65-69,1299
2029-03-01,40-44,1603
2029-03-01,35-39,806
2029-03-01,60-64,1650
2029-03-01,55-59,1692
2029-03-01,25-29,663
2029-03-01,45-49,2176
2029-03-01,50-54,2088
2029-03-01,30-34,619
2029-03-01,65-69,1282
2029-03-01,70-74,1293
2029-03-01,75-79,859
2029-03-01,20-24,752
2029-03-01,15-19,489
2029-04-01,70-74,1257
2029-04-01,30-34,602
2029-04-01,60-64,1652
2029-04-01,15-19,501
2029-04-01,65-69,1285
2029-04-01,40-44,1623
2029-04-01,20-24,751
2029-04-01,75-79,876
2029-04-01,50-54,2132
2029-04-01,25-29,678
2029-04-01,55-59,1663
2029-04-01,45-49,2130
2029-04-01,35-39,804
2029-05-01,35-39,802
2029-05-01,30-34,600
2029-05-01,50-54,2161
2029-05-01,45-49,2103
2029-05-01,40-44,1641
2029-05-01,25-29,684
2029-05-01,65-69,1259
2029-05-01,20-24,746
2029-05-01,15-19,507
2029-05-01,75-79,875
2029-05-01,55-59,1622
2029-05-01,70-74,1254
2029-05-01,60-64,1695
2029-06-01,40-44,1663
2029-06-01,20-24,745
2029-06-01,55-59,1620
2029-06-01,15-19,509
2029-06-01,35-39,791
2029-06-01,30-34,600
2029-06-01,75-79,876
2029-06-01,50-54,2203
2029-06-01,65-69,1258
2029-06-01,25-29,676
2029-06-01,60-64,1696
2029-06-01,45-49,2062
2029-06-01,70-74,1253
2029-07-01,55-59,1590
2029-07-01,45-49,2025
2029-07-01,70-74,1270
2029-07-01,40-44,1689
2029-07-01,60-64,1729
2029-07-01,15-19,521
2029-07-01,35-39,776
2029-07-01,20-24,748
2029-07-01,25-29,670
2029-07-01,65-69,1222
2029-07-01,50-54,2239
2029-07-01,75-79,870
2029-07-01,30-34,606
2029-08-01,35-39,767
2029-08-01,20-24,758
2029-08-01,50-54,2292
2029-08-01,30-34,602
2029-08-01,45-49,1976
2029-08-01,70-74,1286
2029-08-01,55-59,1540
2029-08-01,65-69,1182
2029-08-01,25-29,671
2029-08-01,15-19,513
2029-08-01,60-64,1777
2029-08-01,40-44,1708
2029-08-01,75-79,867
2029-09-01,75-79,893
2029-09-01,40-44,1724
2029-09-01,25-29,674
2029-09-01,60-64,1830
2029-09-01,50-54,2333
