month,class_range,count
2014-09-01,35-39,2553
2014-09-01,75-79,93
2014-09-01,25-29,1909
2014-09-01,15-19,141
2014-09-01,40-44,1659
2014-09-01,50-54,1086
2014-09-01,20-24,549
2014-09-01,30-34,2029
2014-09-01,70-74,201
2014-09-01,65-69,1156
2014-09-01,60-64,1301
2014-09-01,45-49,1928
2014-10-01,55-59,1424
2014-10-01,15-19,140
2014-10-01,45-49,1972
2014-10-01,50-54,1073
2014-10-01,25-29,1924
2014-10-01,60-64,1304
2014-10-01,75-79,100
2014-10-01,65-69,1152
2014-10-01,35-39,2608
2014-10-01,70-74,189
2014-10-01,20-24,551
2014-10-01,40-44,1623
2014-10-01,30-34,1972
2014-11-01,45-49,2004
2014-11-01,65-69,1158
2014-11-01,55-59,1430
2014-11-01,50-54,1050
2014-11-01,40-44,1593
2014-11-01,30-34,1926
2014-11-01,15-19,144
2014-11-01,25-29,1934
2014-11-01,60-64,1307
2014-11-01,35-39,2653
2014-11-01,75-79,104
2014-11-01,70-74,185
2014-11-01,20-24,552
2014-12-01,40-44,1566
2014-12-01,45-49,2032
2014-12-01,15-19,141
2014-12-01,65-69,1170
2014-12-01,55-59,1433
2014-12-01,50-54,1031
2014-12-01,30-34,1880
2014-12-01,20-24,545
2014-12-01,25-29,1962
2014-12-01,60-64,1294
2014-12-01,35-39,2705
2014-12-01,70-74,180
2014-12-01,75-79,101
2015-01-01,50-54,1050
2015-01-01,30-34,1882
2015-01-01,40-44,1581
2015-01-01,55-59,1447
2015-01-01,35-39,2702
2015-01-01,60-64,1286
2015-01-01,75-79,103
2015-01-01,15-19,140
2015-01-01,25-29,1923
2015-01-01,20-24,535
2015-01-01,65-69,1178
2015-01-01,70-74,198
2015-01-01,45-49,2024
2015-02-01,35-39,2695
2015-02-01,40-44,1589
2015-02-01,75-79,106
2015-02-01,55-59,1454
2015-02-01,45-49,2035
2015-02-01,15-19,134
2015-02-01,65-69,1187
2015-02-01,70-74,215
2015-02-01,20-24,527
2015-02-01,60-64,1281
2015-02-01,25-29,1884
2015-02-01,30-34,1897
2015-02-01,50-54,1053
2015-03-01,50-54,1058
2015-03-01,15-19,130
