COD_MUN,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
1100114,3.36994989916366,3.33436439068628,3.29400655474334,3.25439342516747,3.21536131808898,3.18195306416667,3.14398429720655,3.10676193992854,3.07052246190439,3.03528788808457,3.00554713016747,2.97210102986573,2.939242232406,2.90696422327395,2.87517167751112,2.84794714416568,2.81712644226556,2.78686025039389,2.76088729892759,2.73174372797014,2.70694018614272,2.69190162955305,2.67702924485939,2.66232029296456,2.64777209464234,2.6333820289106,2.61914753145702,2.61208783460673,2.5980820017134,2.59113525839331,2.57735262404015
1100122,3.38747095076502,3.32205232126175,3.26964715299619,3.22380619166897,3.18907850711015,3.15986904075256,3.12615484391576,3.09792496038897,3.07040979252667,3.04368166158123,3.00847849440219,2.98299521091417,2.95367640218645,2.92902854466301,2.90034872948314,2.87222047164675,2.84443539327222,2.81714376599472,2.79033629374565,2.76790753325954,2.7457978415134,2.73054340906054,2.71545753387237,2.70053743753241,2.68578040235464,2.67118376973315,2.6567449385454,2.6495839009752,2.63537701678766,2.62833055417593,2.61435007250478
1100130,3.40476279712184,3.31696371413133,3.25101551211669,3.19483236492213,3.15621034646396,3.12345858581261,3.10078575479497,3.07717379650478,3.05222815687635,3.02657400127276,3.00083326237821,2.97974288202964,2.95891115974954,2.94328487752168,2.91968679918255,2.8963729710076,2.87766246364923,2.85100272647143,2.82860421572731,2.81028107757697,2.79215054877499,2.7766386012818,2.76129805652332,2.7461260891798,2.731119935687,2.71627689255826,2.70159431476067,2.69431238938395,2.67986567415936,2.6727002579183,2.65848376718468
1100148,3.27107631394515,3.21972702268641,3.18093525663471,3.15839185143473,3.14156603247824,3.12475644555496,3.11209574414797,3.08905804200962,3.06020989855278,3.02624314971656,2.98806592957159,2.94623562103793,2.90961274680489,2.86981622467309,2.83911231004155,2.80516435928617,2.76817292683409,2.73945774961786,2.7149427859671,2.68710228060498,2.66339395694226,2.64859732384814,2.63396418946223,2.6194918587509,2.60517769558833,2.59101912115579,2.57701361239278,2.57006748405749,2.55628696135476,2.54945196947949,2.53589105474821
1100155,3.32192919062617,3.23480754856924,3.15690325668777,3.10135427531831,3.05166080261776,3.01657863665699,2.98654860361771,2.96125924174463,2.93259236966062,2.90888146750065,2.88174039708398,2.85533445162536,2.82920477359767,2.8032167316553,2.78139726750811,2.75195253579025,2.72661993618931,2.70896387524956,2.6842065318819,2.66020962370959,2.63988376073825,2.62521773984525,2.61071377443175,2.59636919325355,2.58218138345436,2.56814778897905,2.55426590903862,2.54738109526763,2.53372221540025,2.5269475570703,2.51350634666035
1100189,3.42259751928304,3.34453515227774,3.28641590626746,3.24098824694326,3.2123980898781,3.18934415634594,3.17132308536003,3.15335472627112,3.13526831958965,3.11721489503187,3.08978082073707,3.06281853308659,3.04094037052016,3.01479673887574,2.98460084119851,2.96366244126153,2.93864698539133,2.91396928493642,2.88965019385512,2.86983250376216,2.84614254215847,2.83033063914647,2.81469345329483,2.79922810465036,2.78393177620964,2.7688017122085,2.75383521646684,2.7464124800343,2.7316864077553,2.72438243340302,2.70989103748065
1100205,3.88592758867526,3.7661779406055,3.65389349107697,3.55521279125371,3.48064178194776,3.40954871995302,3.35808458157911,3.31357677733942,3.26419155458914,3.23141407027178,3.19372116626788,3.15689574262606,3.12091163061443,3.08637126781733,3.05743799813903,3.02496359551773,2.99321289968305,2.97096299250626,2.9403996599284,2.91898543910267,2.89790513000545,2.88180565706097,2.86588407884516,2.85013746302733,2.83456294137144,2.81915770799443,2.80391901768094,2.79636128447964,2.78136739019289,2.77393057898917,2.75917562910093
1100254,3.28767764705292,3.20098151006947,3.12888691587141,3.07440621986156,3.02655849854044,2.99335768199852,2.95184716109708,2.91963729623004,2.88357242362049,2.85235524110967,2.81381273151697,2.78401167053863,2.75476954870413,2.72992865579511,2.70907496363782,2.68489178026917,2.66096620347001,2.63743547814988,2.61424517513829,2.59143199810239,2.57224139754853,2.55795116756215,2.54381884066954,2.52984181407245,2.51601754186441,2.50234353348471,2.48881735222263,2.482108949656,2.46880005448358,2.46219898481918,2.44910218170844
1100262,3.36430493479152,3.25809876151945,3.16363162363351,3.09062363091169,3.03116862686654,2.98815326955051,2.95471131211977,2.92128421793446,2.88296641033566,2.85326197950434,2.81970198579167,2.7866483074602,2.7586129755479,2.72776644065566,2.70150766775231,2.67932953031408,2.65052253531419,2.62909952698074,2.60788456779549,2.59383592120713,2.57296252949154,2.55866829321658,2.54453200430379,2.5305510592252,2.51672291136058,2.50304506945101,2.48951509610263,2.48280481282472,2.4694921864825,2.46288926619779,2.44978879137758
1100288,3.29571909472877,3.26716533228457,3.24919333290269,3.24666817724005,3.23309969417479,3.21401330843482,3.19485880116521,3.16590120202736,3.13271070105886,3.10527929707108,3.07382927897608,3.04320148745243,3.02210174528266,2.99208859274456,2.96691700557911,2.93745713409139,2.91696852146507,2.88835150187559,2.86444755302734,2.84087349260774,2.8256095363774,2.80991170561975,2.79438733155555,2.77903355500854,2.76384757929811,2.74882666854106,2.7339681460084,2.72659895963102,2.71197912606732,2.70472784498158,2.69034099474231
